버스이름,아캠   출발,천안         아산역,쌍용   2동,충무   병원,천안역,천안           터미널,천캠   도착,버스이름,천캠  출발,천안         터미널,천안역,충무  병원,쌍용  3동,천안           아산역,아캠    도착
아산1,7:45,8:00,8:05,8:10,8:20,8:25,8:35,천안1,7:45,7:53,7:58,8:03,8:08,8:18,8:33
아산2,08:00,8:15,8:20,8:25,8:35,8:40,8:50,천안2,8:00,8:08,8:13,8:18,8:23,8:33,8:48
